case_id,offender_id,crime_type,ipc_bns_section,victim_type,district,area_locality,time_pattern,method_used,mo_summary,date_reported,match_status,offender_age_band,offender_gender,offender_prior_case_count,offender_repeat_status,offender_recurrence_pattern
CASE-00002,OFF-00001,Two-Wheeler Theft,BNS Sec 303 (Theft),Parked vehicle - commercial area,Mysuru,Saraswathipuram,Midday (12-3 PM),Duplicate key / lock-picking,Duplicate key / lock-picking; target: Parked vehicle - commercial area; midday (12-3 pm),2024-08-22,Linked to known offender record,46-55,M,3,Repeat,Single recorded case - insufficient pattern history
CASE-01536,UNASSIGNED,Shop Robbery,BNS Sec 309 (Robbery),Jewellery shop,Bagalkot,Navanagar,Midday (12-3 PM),Late-night forced entry,Late-night forced entry; target: Jewellery shop; midday (12-3 pm),2023-06-22,Open - no offender match recorded,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched
CASE-01624,UNASSIGNED,Chain Snatching,BNS Sec 304 (Snatching),Lone woman pedestrian,Mysuru,Kuvempunagar,Weekday mornings,Two-wheeler drive-by snatch,Two-wheeler drive-by snatch; target: Lone woman pedestrian; weekday mornings,2024-03-25,Open - no offender match recorded,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched
CASE-00561,OFF-00177,Shop Robbery,BNS Sec 309 (Robbery),Small retail shop,Hassan,Vidyanagar,Late night (11 PM-2 AM),Late-night forced entry,Late-night forced entry; target: Small retail shop; late night (11 pm-2 am),2024-03-27,Linked to known offender record,56+,M,4,Repeat,Escalating frequency over last 6 months
CASE-01660,UNASSIGNED,Chain Snatching,BNS Sec 304 (Snatching),Lone woman pedestrian,Chitradurga,Basaveshwara Nagar,Midday (12-3 PM),"Foot approach, distraction snatch","Foot approach, distraction snatch; target: Lone woman pedestrian; midday (12-3 pm)",2024-03-26,Open - no offender match recorded,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched
CASE-00034,OFF-00011,Shop Robbery,BNS Sec 309 (Robbery),Jewellery shop,Kolar,Bangarpet Road area,Weekday mornings,Late-night forced entry,Late-night forced entry; target: Jewellery shop; weekday mornings,2025-08-14,Linked to known offender record,36-45,M,4,Repeat,Escalating frequency over last 6 months
CASE-00121,OFF-00034,ATM Tampering/Skimming,BNS Sec 318 / IT Act,ATM users - unmanned kiosk,Chikkaballapur,MG Road area,Evening rush (6-8 PM),Skimmer device installation,Skimmer device installation; target: ATM users - unmanned kiosk; evening rush (6-8 pm),2025-10-09,Linked to known offender record,18-25,M,3,Repeat,Alternates between two known methods
CASE-01586,UNASSIGNED,Two-Wheeler Theft,BNS Sec 303 (Theft),Parked vehicle - commercial area,Hubballi-Dharwad,Keshwapur,Weekend nights,Vehicle lifted onto pickup truck,Vehicle lifted onto pickup truck; target: Parked vehicle - commercial area; weekend nights,2025-04-02,Open - no offender match recorded,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched
CASE-01514,UNASSIGNED,ATM Tampering/Skimming,BNS Sec 318 / IT Act,ATM users - unmanned kiosk,Chikkamagaluru,IG Road area,Late night (11 PM-2 AM),Skimmer device installation,Skimmer device installation; target: ATM users - unmanned kiosk; late night (11 pm-2 am),2025-12-05,Open - no offender match recorded,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched
CASE-01528,UNASSIGNED,Shop Robbery,BNS Sec 309 (Robbery),Small retail shop,Koppal,Old Town,Weekend nights,"Armed threat, cash till","Armed threat, cash till; target: Small retail shop; weekend nights",2023-03-03,Open - no offender match recorded,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched
CASE-00477,OFF-00151,Cyber Fraud (OTP/Phishing),IT Act Sec 66C/66D,Elderly account holder,Chamarajanagar,Town Centre,Weekend nights,Fake bank call requesting OTP,Fake bank call requesting OTP; target: Elderly account holder; weekend nights,2025-01-07,Linked to known offender record,46-55,M,3,Repeat,Escalating frequency over last 6 months
CASE-01785,UNASSIGNED,Counterfeit Currency,BNS Sec 178-180,Currency exchange,Kalaburagi,Sedam Road area,Early morning (4-7 AM),Cash-for-goods swap,Cash-for-goods swap; target: Currency exchange; early morning (4-7 am),2023-06-11,Open - no offender match recorded,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched
CASE-00017,OFF-00008,Two-Wheeler Theft,BNS Sec 303 (Theft),Parked vehicle - commercial area,Davanagere,Shamanur Road area,Early morning (4-7 AM),Vehicle lifted onto pickup truck,Vehicle lifted onto pickup truck; target: Parked vehicle - commercial area; early morning (4-7 am),2024-06-28,Linked to known offender record,18-25,M,5,Repeat,Consistent MO across all recorded cases
CASE-00964,OFF-00300,Shop Robbery,BNS Sec 309 (Robbery),Small retail shop,Bagalkot,Old Bagalkot,Early morning (4-7 AM),Late-night forced entry,Late-night forced entry; target: Small retail shop; early morning (4-7 am),2025-03-02,Linked to known offender record,18-25,F,6,Repeat,Alternates between two known methods
CASE-01492,OFF-00453,Shop Robbery,BNS Sec 309 (Robbery),Jewellery shop,Kolar,Ambedkar Nagar,Weekday mornings,"Armed threat, cash till","Armed threat, cash till; target: Jewellery shop; weekday mornings",2023-04-26,Linked to known offender record,36-45,M,4,Repeat,Escalating frequency over last 6 months
CASE-00831,OFF-00259,ATM Tampering/Skimming,BNS Sec 318 / IT Act,ATM users - unmanned kiosk,Chikkaballapur,Bus Stand area,Weekend nights,Skimmer device installation,Skimmer device installation; target: ATM users - unmanned kiosk; weekend nights,2025-03-21,Linked to known offender record,56+,M,4,Repeat,Consistent MO across all recorded cases
CASE-00668,OFF-00211,Counterfeit Currency,BNS Sec 178-180,Currency exchange,Bidar,New Bidar,Weekend nights,Cash-for-goods swap,Cash-for-goods swap; target: Currency exchange; weekend nights,2024-06-09,Linked to known offender record,26-35,M,2,Repeat,Single recorded case - insufficient pattern history
CASE-01297,OFF-00391,House Burglary,BNS Sec 305 (Burglary),Vacant residence,Davanagere,PJ Extension,Weekday mornings,Impersonation as utility worker,Impersonation as utility worker; target: Vacant residence; weekday mornings,2025-11-03,Linked to known offender record,46-55,F,4,Repeat,Long gap then resurgence with same MO
CASE-00338,OFF-00106,ATM Tampering/Skimming,BNS Sec 318 / IT Act,ATM users - unmanned kiosk,Vijayapura,Jubilee Circle area,Weekday mornings,Skimmer device installation,Skimmer device installation; target: ATM users - unmanned kiosk; weekday mornings,2025-01-23,Linked to known offender record,18-25,M,1,First recorded instance,Single recorded case - insufficient pattern history
CASE-00228,OFF-00065,Pickpocketing,BNS Sec 303 (Theft),Market crowd,Vijayapura,Athani Road area,Weekday mornings,Crowd distraction lift,Crowd distraction lift; target: Market crowd; weekday mornings,2025-04-11,Linked to known offender record,36-45,M,6,Repeat,Alternates between two known methods
CASE-00393,OFF-00126,House Burglary,BNS Sec 305 (Burglary),Ground-floor apartment,Bengaluru Urban,Indiranagar,Evening rush (6-8 PM),Window grille cutting,Window grille cutting; target: Ground-floor apartment; evening rush (6-8 pm),2025-11-16,Linked to known offender record,18-25,F,3,Repeat,Escalating frequency over last 6 months
CASE-01780,UNASSIGNED,Pickpocketing,BNS Sec 303 (Theft),Market crowd,Tumakuru,Ashoknagar,Weekend nights,Crowd distraction lift,Crowd distraction lift; target: Market crowd; weekend nights,2025-06-03,Open - no offender match recorded,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched
CASE-01429,OFF-00435,Chain Snatching,BNS Sec 304 (Snatching),Lone woman pedestrian,Chikkamagaluru,MG Road area,Weekday mornings,"Foot approach, distraction snatch","Foot approach, distraction snatch; target: Lone woman pedestrian; weekday mornings",2024-06-25,Linked to known offender record,26-35,M,6,Repeat,Alternates between two known methods
CASE-00437,OFF-00140,Chit Fund / Investment Fraud,BNS Sec 318 (Cheating),Small investor group,Kalaburagi,Sedam Road area,Evening rush (6-8 PM),"Fake high-return scheme, cash collection","Fake high-return scheme, cash collection; target: Small investor group; evening rush (6-8 pm)",2024-07-18,Linked to known offender record,56+,F,4,Repeat,Single recorded case - insufficient pattern history
CASE-00789,OFF-00246,ATM Tampering/Skimming,BNS Sec 318 / IT Act,ATM users - unmanned kiosk,Ramanagara,Bengaluru-Mysuru Highway area,Midday (12-3 PM),Shoulder-surfing + card swap,Shoulder-surfing + card swap; target: ATM users - unmanned kiosk; midday (12-3 pm),2025-09-23,Linked to known offender record,26-35,M,6,Repeat,Consistent MO across all recorded cases
CASE-00622,OFF-00196,ATM Tampering/Skimming,BNS Sec 318 / IT Act,ATM users - unmanned kiosk,Bidar,Old City area,Late night (11 PM-2 AM),Shoulder-surfing + card swap,Shoulder-surfing + card swap; target: ATM users - unmanned kiosk; late night (11 pm-2 am),2023-07-12,Linked to known offender record,56+,F,1,First recorded instance,Alternates between two known methods
CASE-01257,OFF-00380,ATM Tampering/Skimming,BNS Sec 318 / IT Act,ATM users - unmanned kiosk,Mangaluru (Dakshina Kannada),Hampankatta,Weekend nights,Shoulder-surfing + card swap,Shoulder-surfing + card swap; target: ATM users - unmanned kiosk; weekend nights,2024-09-14,Linked to known offender record,56+,M,5,Repeat,Long gap then resurgence with same MO
CASE-01256,OFF-00380,ATM Tampering/Skimming,BNS Sec 318 / IT Act,ATM users - unmanned kiosk,Yadgir,Bus Stand area,Weekend nights,Shoulder-surfing + card swap,Shoulder-surfing + card swap; target: ATM users - unmanned kiosk; weekend nights,2024-04-01,Linked to known offender record,56+,M,5,Repeat,Long gap then resurgence with same MO
CASE-00705,OFF-00222,Two-Wheeler Theft,BNS Sec 303 (Theft),Parked vehicle - commercial area,Chitradurga,Basaveshwara Nagar,Weekday mornings,Duplicate key / lock-picking,Duplicate key / lock-picking; target: Parked vehicle - commercial area; weekday mornings,2024-06-20,Linked to known offender record,18-25,M,4,Repeat,Consistent MO across all recorded cases
CASE-00476,OFF-00151,Cyber Fraud (OTP/Phishing),IT Act Sec 66C/66D,First-time UPI user,Udupi,Malpe Road area,Weekend nights,SMS phishing link,SMS phishing link; target: First-time UPI user; weekend nights,2025-09-11,Linked to known offender record,46-55,M,3,Repeat,Escalating frequency over last 6 months
CASE-00454,OFF-00146,ATM Tampering/Skimming,BNS Sec 318 / IT Act,ATM users - unmanned kiosk,Bengaluru Urban,Rajajinagar,Weekday mornings,Skimmer device installation,Skimmer device installation; target: ATM users - unmanned kiosk; weekday mornings,2024-11-20,Linked to known offender record,18-25,M,6,Repeat,Escalating frequency over last 6 months
CASE-01365,OFF-00415,Two-Wheeler Theft,BNS Sec 303 (Theft),Parked vehicle - residential,Ballari,Gandhinagar,Weekday mornings,Duplicate key / lock-picking,Duplicate key / lock-picking; target: Parked vehicle - residential; weekday mornings,2024-09-17,Linked to known offender record,36-45,M,4,Repeat,Single recorded case - insufficient pattern history
CASE-01775,UNASSIGNED,Chain Snatching,BNS Sec 304 (Snatching),Lone woman pedestrian,Shivamogga,Vinoba Nagar,Early morning (4-7 AM),Two-wheeler drive-by snatch,Two-wheeler drive-by snatch; target: Lone woman pedestrian; early morning (4-7 am),2023-06-29,Open - no offender match recorded,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched
CASE-01150,OFF-00350,Vehicle Theft (Four-wheeler),BNS Sec 303 (Theft),Parked vehicle - street,Hubballi-Dharwad,Old Hubballi,Weekday mornings,Relay key attack,Relay key attack; target: Parked vehicle - street; weekday mornings,2025-01-26,Linked to known offender record,56+,M,6,Repeat,Alternates between two known methods
CASE-01932,UNASSIGNED,Shop Robbery,BNS Sec 309 (Robbery),Small retail shop,Ramanagara,Town Centre,Early morning (4-7 AM),"Armed threat, cash till","Armed threat, cash till; target: Small retail shop; early morning (4-7 am)",2025-10-10,Open - no offender match recorded,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched
CASE-01420,OFF-00432,Chain Snatching,BNS Sec 304 (Snatching),Lone woman pedestrian,Chamarajanagar,Town Centre,Midday (12-3 PM),Two-wheeler drive-by snatch,Two-wheeler drive-by snatch; target: Lone woman pedestrian; midday (12-3 pm),2023-05-12,Linked to known offender record,36-45,M,5,Repeat,Long gap then resurgence with same MO
CASE-00486,OFF-00155,Vehicle Theft (Four-wheeler),BNS Sec 303 (Theft),Parked vehicle - street,Tumakuru,Ashoknagar,Midday (12-3 PM),Relay key attack,Relay key attack; target: Parked vehicle - street; midday (12-3 pm),2023-10-01,Linked to known offender record,36-45,F,6,Repeat,Consistent MO across all recorded cases
CASE-01193,OFF-00361,Two-Wheeler Theft,BNS Sec 303 (Theft),Parked vehicle - residential,Bidar,Chidri,Midday (12-3 PM),Vehicle lifted onto pickup truck,Vehicle lifted onto pickup truck; target: Parked vehicle - residential; midday (12-3 pm),2025-03-24,Linked to known offender record,46-55,F,3,Repeat,Alternates between two known methods
CASE-00319,OFF-00101,Chit Fund / Investment Fraud,BNS Sec 318 (Cheating),Small investor group,Bengaluru Rural,Hoskote town,Evening rush (6-8 PM),"Fake high-return scheme, cash collection","Fake high-return scheme, cash collection; target: Small investor group; evening rush (6-8 pm)",2023-05-29,Linked to known offender record,56+,M,2,Repeat,Single recorded case - insufficient pattern history
CASE-00847,OFF-00265,Cyber Fraud (OTP/Phishing),IT Act Sec 66C/66D,Elderly account holder,Mandya,Vidyanagar,Early morning (4-7 AM),SMS phishing link,SMS phishing link; target: Elderly account holder; early morning (4-7 am),2023-09-08,Linked to known offender record,56+,M,3,Repeat,Alternates between two known methods
CASE-01172,OFF-00356,ATM Tampering/Skimming,BNS Sec 318 / IT Act,ATM users - unmanned kiosk,Uttara Kannada,Kumta town,Evening rush (6-8 PM),Shoulder-surfing + card swap,Shoulder-surfing + card swap; target: ATM users - unmanned kiosk; evening rush (6-8 pm),2025-07-31,Linked to known offender record,46-55,F,6,Repeat,Consistent MO across all recorded cases
CASE-01069,OFF-00327,ATM Tampering/Skimming,BNS Sec 318 / IT Act,ATM users - unmanned kiosk,Belagavi,Camp Area,Late night (11 PM-2 AM),Skimmer device installation,Skimmer device installation; target: ATM users - unmanned kiosk; late night (11 pm-2 am),2025-12-13,Linked to known offender record,26-35,F,6,Repeat,Single recorded case - insufficient pattern history
CASE-01680,UNASSIGNED,Pickpocketing,BNS Sec 303 (Theft),Bus/rail commuter,Bengaluru Urban,Jayanagar,Weekday mornings,Crowd distraction lift,Crowd distraction lift; target: Bus/rail commuter; weekday mornings,2023-05-31,Open - no offender match recorded,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched
CASE-01377,OFF-00420,Pickpocketing,BNS Sec 303 (Theft),Bus/rail commuter,Bengaluru Urban,Marathahalli,Evening rush (6-8 PM),Bag slit and remove,Bag slit and remove; target: Bus/rail commuter; evening rush (6-8 pm),2024-12-26,Linked to known offender record,18-25,M,4,Repeat,Escalating frequency over last 6 months
CASE-01894,UNASSIGNED,Chain Snatching,BNS Sec 304 (Snatching),Lone woman pedestrian,Tumakuru,SS Puram,Early morning (4-7 AM),"Foot approach, distraction snatch","Foot approach, distraction snatch; target: Lone woman pedestrian; early morning (4-7 am)",2024-07-22,Open - no offender match recorded,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched
CASE-01231,OFF-00372,Pickpocketing,BNS Sec 303 (Theft),Bus/rail commuter,Gadag,Station Road area,Late night (11 PM-2 AM),Bag slit and remove,Bag slit and remove; target: Bus/rail commuter; late night (11 pm-2 am),2023-11-05,Linked to known offender record,18-25,F,4,Repeat,Consistent MO across all recorded cases
CASE-01410,OFF-00431,Vehicle Theft (Four-wheeler),BNS Sec 303 (Theft),Parked vehicle - street,Bagalkot,Navanagar,Weekday mornings,Tow-away theft,Tow-away theft; target: Parked vehicle - street; weekday mornings,2025-03-28,Linked to known offender record,56+,F,6,Repeat,Alternates between two known methods
CASE-01851,UNASSIGNED,Vehicle Theft (Four-wheeler),BNS Sec 303 (Theft),Parked vehicle - street,Bidar,New Bidar,Midday (12-3 PM),Relay key attack,Relay key attack; target: Parked vehicle - street; midday (12-3 pm),2024-04-26,Open - no offender match recorded,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched
